Uni_number,job_title,employee_residence,remote_ratio,company_location,company_size
0,Data Scientist,DE,0,DE,L
1,Machine Learning Scientist,JP,0,JP,S
2,Big Data Engineer,GB,50,GB,M
3,Product Data Analyst,HN,0,HN,S
4,Machine Learning Engineer,US,50,US,L
5,Data Analyst,US,100,US,L
6,Lead Data Scientist,US,100,US,S
7,Data Scientist,HU,50,HU,L
8,Business Data Analyst,US,100,US,L
9,Lead Data Engineer,NZ,50,NZ,S
10,Data Scientist,FR,0,FR,S
11,Data Scientist,IN,0,IN,L
12,Data Scientist,FR,0,FR,M
13,Lead Data Analyst,US,100,US,L
14,Data Analyst,US,100,US,L
15,Data Analyst,PK,50,PK,L
16,Data Engineer,JP,100,JP,S
17,Big Data Engineer,PL,100,GB,S
18,Data Science Consultant,IN,50,IN,M
19,Lead Data Engineer,PT,100,US,M
20,Machine Learning Engineer,CN,0,CN,M
21,Product Data Analyst,IN,100,IN,L
22,Data Engineer,GR,50,GR,L
23,BI Data Analyst,US,0,US,M
24,Lead Data Scientist,AE,0,AE,L
25,Director of Data Science,US,100,US,L
26,Research Scientist,NL,50,NL,L
27,Data Engineer,MX,0,MX,S
28,Business Data Analyst,US,100,US,L
29,Machine Learning Manager,CA,50,CA,L
30,Data Engineering Manager,DE,100,DE,S
31,Big Data Engineer,US,100,US,L
32,Data Scientist,GR,100,US,L
33,Research Scientist,US,0,US,M
34,Data Analyst,FR,50,FR,L
35,Data Engineer,AT,50,AT,L
36,Data Science Consultant,US,100,US,L
37,Machine Learning Engineer,US,50,US,L
38,Data Analyst,NG,100,NG,S
39,Machine Learning Engineer,US,100,US,S
40,Data Scientist,PH,100,US,S
41,Data Engineering Manager,ES,50,ES,L
42,Machine Learning Infrastructure Engineer,PT,0,PT,M
43,Data Engineer,US,100,US,L
44,Data Engineer,GB,50,GB,L
45,ML Engineer,DE,100,DE,S
46,Data Scientist,GB,100,GB,S
47,Data Engineer,US,100,US,L
48,Data Scientist,US,100,US,L
49,Data Engineer,FR,50,FR,L
50,Data Analyst,IN,0,IN,S
51,Data Analyst,US,100,US,L
52,AI Scientist,DK,50,DK,S
53,Data Engineer,PK,100,DE,L
54,Computer Vision Engineer,RU,100,US,S
55,Principal Data Scientist,DE,100,DE,M
56,Data Scientist,ES,100,ES,M
57,Data Scientist,US,100,US,M
58,Data Scientist,US,50,US,L
59,Data Scientist,US,100,US,M
60,Data Engineer,US,100,US,L
61,Data Engineer,ES,100,US,M
62,Data Scientist,IT,50,IT,S
63,Data Scientist,US,100,US,L
64,Machine Learning Engineer,HR,100,HR,S
65,Data Scientist,DE,50,DE,S
66,Data Scientist,DE,0,DE,S
67,Data Science Manager,US,100,US,M
68,Data Scientist,US,100,US,S
69,Data Scientist,AT,0,AT,S
70,Data Scientist,FR,50,LU,S
71,Data Scientist,FR,50,FR,S
72,Research Scientist,GB,50,GB,L
73,BI Data Analyst,IN,100,US,L
74,Head of Data,US,100,US,L
75,Data Scientist,FR,50,FR,L
76,BI Data Analyst,US,100,US,M
77,3D Computer Vision Researcher,IN,50,IN,M
78,ML Engineer,US,100,US,L
79,Data Analyst,US,100,US,M
80,Data Analytics Engineer,DE,100,DE,L
81,Data Engineer,US,100,US,L
82,Applied Data Scientist,GB,50,CA,L
83,Machine Learning Engineer,ES,100,ES,S
84,Director of Data Science,IT,100,PL,L
85,Data Engineer,PL,100,PL,L
86,Data Analyst,FR,50,FR,M
87,Data Analytics Engineer,US,100,US,L
88,Lead Data Analyst,US,100,US,L
89,Data Analyst,BG,100,US,S
90,Marketing Data Analyst,GR,100,DK,L
91,Data Science Consultant,DE,100,DE,S
92,Lead Data Analyst,IN,100,IN,L
93,Lead Data Engineer,US,0,US,L
94,Data Scientist,IN,50,IN,L
95,Cloud Data Engineer,SG,50,SG,L
96,AI Scientist,BR,100,US,S
97,Financial Data Analyst,US,100,US,L
98,Computer Vision Software Engineer,US,100,US,M
99,Computer Vision Software Engineer,DE,100,US,S
100,Data Analyst,US,0,US,L
101,Data Engineer,US,100,US,L
