Uni_number, salary ,salary_currency, salary_in_usd 
0,70000,EUR,79833
1,260000,USD,260000
2,85000,GBP,109024
3,20000,USD,20000
4,150000,USD,150000
5,72000,USD,72000
6,190000,USD,190000
7,11000000,HUF,35735
8,135000,USD,135000
9,125000,USD,125000
10,45000,EUR,51321
11,3000000,INR,40481
12,35000,EUR,39916
13,87000,USD,87000
14,85000,USD,85000
15,8000,USD,8000
16,4450000,JPY,41689
17,100000,EUR,114047
18,423000,INR,5707
19,56000,USD,56000
20,299000,CNY,43331
21,450000,INR,6072
22,42000,EUR,47899
23,98000,USD,98000
24,115000,USD,115000
25,325000,USD,325000
26,42000,USD,42000
27,720000,MXN,33511
28,100000,USD,100000
29,157000,CAD,117104
30,51999,EUR,59303
31,70000,USD,70000
32,60000,EUR,68428
33,450000,USD,450000
34,41000,EUR,46759
35,65000,EUR,74130
36,103000,USD,103000
37,250000,USD,250000
38,10000,USD,10000
39,138000,USD,138000
40,45760,USD,45760
41,70000,EUR,79833
42,44000,EUR,50180
43,106000,USD,106000
44,88000,GBP,112872
45,14000,EUR,15966
46,60000,GBP,76958
47,188000,USD,188000
48,105000,USD,105000
49,61500,EUR,70139
50,450000,INR,6072
51,91000,USD,91000
52,300000,DKK,45896
53,48000,EUR,54742
54,60000,USD,60000
55,130000,EUR,148261
56,34000,EUR,38776
57,118000,USD,118000
58,120000,USD,120000
59,138350,USD,138350
60,110000,USD,110000
61,130800,USD,130800
62,19000,EUR,21669
63,412000,USD,412000
64,40000,EUR,45618
65,55000,EUR,62726
66,43200,EUR,49268
67,190200,USD,190200
68,105000,USD,105000
69,80000,EUR,91237
70,55000,EUR,62726
71,37000,EUR,42197
72,60000,GBP,82528
73,150000,USD,150000
74,235000,USD,235000
75,45000,EUR,53192
76,100000,USD,100000
77,400000,INR,5409
78,270000,USD,270000
79,80000,USD,80000
80,67000,EUR,79197
81,140000,USD,140000
82,68000,CAD,54238
83,40000,EUR,47282
84,130000,EUR,153667
85,110000,PLN,28476
86,50000,EUR,59102
87,110000,USD,110000
88,170000,USD,170000
89,80000,USD,80000
90,75000,EUR,88654
91,65000,EUR,76833
92,1450000,INR,19609
93,276000,USD,276000
94,2200000,INR,29751
95,120000,SGD,89294
96,12000,USD,12000
97,450000,USD,450000
98,70000,USD,70000
99,81000,EUR,95746
100,75000,USD,75000
101,150000,USD,150000
102,11000000,HUF,36259
103,62000,USD,62000
104,73000,USD,73000
105,37456,GBP,51519
106,235000,CAD,187442
107,115000,USD,115000
108,150000,USD,150000
109,2250000,INR,30428
110,80000,EUR,94564
111,82500,GBP,113476
112,75000,GBP,103160
113,12000,USD,12000
114,38400,EUR,45391
115,225000,USD,225000
116,50000,USD,50000
117,34000,EUR,40189
118,90000,USD,90000
119,200000,USD,200000
120,60000,USD,60000
121,200000,USD,200000
122,50000,USD,50000
123,80000,GBP,110037
124,8760,EUR,10354
125,151000,USD,151000
126,120000,USD,120000
127,700000,INR,9466
128,20000,USD,20000
129,3000000,INR,40570
130,100000,USD,100000
131,42000,EUR,49646
132,38400,USD,38400
133,24000,USD,24000
134,100000,USD,100000
135,90000,USD,90000
136,7000000,JPY,63711
137,8500000,JPY,77364
138,220000,USD,220000
139,80000,USD,80000
140,135000,USD,135000
141,240000,USD,240000
142,150000,USD,150000
143,82500,USD,82500
144,100000,USD,100000
145,70000,EUR,82744
146,53000,EUR,62649
147,90000,USD,90000
148,153000,USD,153000
149,160000,USD,160000
150,168000,USD,168000
151,150000,USD,150000
152,95000,CAD,75774
153,13400,USD,13400
154,144000,USD,144000
155,159500,CAD,127221
156,160000,SGD,119059
157,423000,USD,423000
158,120000,USD,120000
159,125000,USD,125000
160,230000,USD,230000
161,85000,USD,85000
162,24000,EUR,28369
163,54000,EUR,63831
164,110000,EUR,130026
165,165000,USD,165000
166,80000,USD,80000
167,250000,USD,250000
168,55000,USD,55000
169,150000,USD,150000
170,170000,USD,170000
171,60000,GBP,82528
172,60000,USD,60000
173,235000,USD,235000
174,51400,EUR,60757
175,174000,USD,174000
176,58000,MXN,2859
177,30400000,CLP,40038
178,81000,USD,81000
179,420000,INR,5679
180,1672000,INR,22611
181,76760,EUR,90734
182,22000,EUR,26005
183,45000,GBP,61896
184,12000,USD,12000
185,4000,USD,4000
186,50000,USD,50000
187,59000,EUR,69741
188,65000,EUR,76833
189,74000,USD,74000
190,152000,USD,152000
191,21844,USD,21844
192,18000,USD,18000
193,174000,USD,174000
194,120500,CAD,96113
195,147000,USD,147000
196,9272,USD,9272
197,1799997,INR,24342
198,4000000,INR,54094
199,90000,USD,90000
200,52000,EUR,61467
201,195000,USD,195000
202,32000,EUR,37825
203,50000,USD,50000
204,160000,USD,160000
205,69600,BRL,12901
206,200000,USD,200000
207,165000,USD,165000
208,20000,USD,20000
209,120000,USD,120000
210,21000,EUR,24823
211,48000,EUR,56738
212,48000,GBP,66022
213,435000,INR,5882
214,21000,EUR,24823
215,185000,USD,185000
216,180000,DKK,28609
217,76760,EUR,90734
218,75000,EUR,88654
219,140000,USD,140000
220,180000,PLN,46597
221,85000,GBP,116914
222,2500000,INR,33808
223,40900,GBP,56256
224,225000,USD,225000
225,416000,USD,416000
226,110000,CAD,87738
227,75000,EUR,88654
228,135000,USD,135000
229,90000,CAD,71786
230,1200000,INR,16228
231,256000,USD,256000
232,200000,USD,200000
233,200000,USD,200000
234,180000,USD,180000
235,110000,USD,110000
236,80000,CAD,63810
237,39600,EUR,46809
238,4000,USD,4000
239,1600000,INR,21637
240,130000,CAD,103691
241,80000,USD,80000
242,110000,USD,110000
243,165000,USD,165000
244,1335000,INR,18053
245,52500,GBP,72212
246,31000,EUR,36643
247,108000,TRY,12103
248,70000,GBP,96282
249,170000,USD,170000
250,115000,USD,115000
251,90000,USD,90000
252,600000,USD,600000
253,2100000,INR,28399
254,93000,USD,93000
255,125000,CAD,99703
256,200000,USD,200000
257,147000,EUR,173762
258,185000,USD,185000
259,120000,EUR,141846
